INDEX:,SPECIES NAME:
165,Dihydroneopterin
166,(S)-Dihydroorotate
167,Dihydroneopterinmonophosphate
168,Dihydropteroate
169,"6,7-Dimethyl-8-(1-D-ribityl)lumazine"
170,Dimethylallyldiphosphate
171,Deamino-NAD+
172,Dephospho-CoA
173,dihydrosirohydrochlorin
174,Dethiobiotin
175,dTDP
176,dTMP
177,dTTP
178,dUMP
179,Deoxyuridine
180,1-deoxy-D-xylulose5-phosphate
181,D-Erythrose4-phosphate
182,Enoylglutaryl-[acyl-carrierprotein]methylester
183,D-erythro-1-(Imidazol-4-yl)glycerol3-phosphate
184,Enoylpimeloyl-[acyl-carrierprotein]methylester
185,Ethanol
186,D-Fructose6-phosphate
187,Flavinadeninedinucleotideoxidized
188,Flavinadeninedinucleotidereduced
189,"D-Fructose1,6-bisphosphate"
190,Fe2+
191,Fe3+
192,N2-Formyl-N1-(5-phospho-D-ribosyl)glycinamide
193,Flavodoxinreduced
194,flavodoxinsemioxidized
195,FMN
196,Formate
197,2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine
198,5-Formamido-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide
199,Farnesyldiphosphate
200,Fumarate
201,Glyceraldehyde3-phosphate
202,D-Glucose6-phosphate
203,D-Glucosamine1-phosphate
204,D-Glucosamine6-phosphate
205,N1-(5-Phospho-D-ribosyl)glycinamide
206,Glycolaldehyde
207,GDP
208,D-Glucose
209,L-Glutamine
210,D-Glutamate
211,L-Glutamate
212,L-Glutamate1-semialdehyde
213,L-Glutamate5-phosphate
214,L-Glutamate5-semialdehyde
215,L-Glutamyl-tRNA(Glu)
216,Glyoxylate
217,Glycine
218,Glycerol
219,(R)-Glycerate
220,Glycerol3-phosphate
221,Glycolate
222,Glutaryl-[acyl-carrierprotein]methylester
223,GMP
224,Geranyldiphosphate
225,glutaredoxin(oxidized)
226,glutaredoxin(reduced)
227,Oxidizedglutathione
228,Reducedglutathione
229,GTP
230,H+
231,H2
232,1-hydroxy-2-methyl-2-(E)-butenyl4-diphosphate
233,H2O
234,Hydrogensulfide
235,Bicarbonate
236,L-Homocysteine
237,Hexadecanoate(n-C16:0)
238,Hexadecanoyl-phosphate(n-C16:0)
239,Hexadecenoate(n-C16:1)
240,Hexadecanoyl-phosphate(n-C16:1)
241,Hexadecenoyl-CoA(n-C16:1CoA)
242,trans-Hexadec-2-enoyl-CoA
243,cis-hexadec-9-enoyl-[acyl-carrierprotein](n-C16:1)
244,3-Hydroxyglutaryl-[acyl-carrierprotein]methylester
245,L-Histidine
246,L-Histidinolphosphate
247,L-Histidinol
248,L-Homoserine
249,3-Hydroxypimeloyl-[acyl-carrierprotein]methylester
250,trans-Hex-2-enoyl-CoA
251,Hexanoyl-CoA(n-C6:0CoA)
252,Iminoaspartate
253,Isocitrate
254,L-Isoleucine
255,3-(Imidazol-4-yl)-2-oxopropylphosphate
256,IMP
257,Indole
258,Isopentenyldiphosphate
259,IscSsulfuracceptorprotein
260,IscSwithboundsulfur
261,IscUscaffoldprotein
262,IscUwithbound[2Fe-2S]cluster
263,IscUwithtwobound[2Fe-2S]clusters
264,IscUwithbound[4Fe-4S]cluster
265,potassium
266,3-Deoxy-D-manno-2-octulosonate
267,KDO(2)-lipidIV(A)
268,3-Deoxy-D-manno-octulosonate8-phosphate
269,KDO-lipidIV(A)
270,D-Lactate
271,L-Leucine
272,"2,3,2#3#-Tetrakis(beta-hydroxymyristoyl)-D-glucosaminyl-1,6-beta-D-glucosamine1,4#-bisphosphate"
273,LipidADisaccharide
274,"2,3-Bis(3-hydroxytetradecanoyl)-beta-D-glucosaminyl1-phosphate"
275,L-Lysine
276,L-Malate
277,Malonyl-[acyl-carrierprotein]
278,Malonyl-CoA
279,malonyl-CoAmethylester
280,Methanol
281,L-Methionine
282,"5,10-Methenyltetrahydrofolate"
283,magnesium
284,"5,10-Methylenetetrahydrofolate"
285,Mn2+
286,MoaDProteinwithboundAMP
287,MoaDProteinwithcarboxylate
288,MoaDProteinwiththiocarboxylate
289,Molybdate
290,molybdenumcofactor
291,molybdopterin
292,adenylatedmolybdopterin
293,Menaquinol8
294,Menaquinone8
295,Methylglyoxal
296,Sodium
297,Nicotinamideadeninedinucleotide
298,Nicotinamideadeninedinucleotide-reduced
299,Nicotinamideadeninedinucleotidephosphate
300,Nicotinamideadeninedinucleotidephosphate-reduced
301,Ammonium
302,nickel
303,NicotinateD-ribonucleotide
304,O2
305,Oxaloacetate
306,trans-Oct-2-enoyl-CoA
307,Octanoyl-CoA(n-C8:0CoA)
308,all-trans-Octaprenyldiphosphate
309,3-Oxo-glutaryl-[acyl-carrierprotein]methylester
310,2-Oxo-3-hydroxy-4-phosphobutanoate
311,3-Oxo-pimeloyl-[acyl-carrierprotein]methylester
312,Ornithine
313,Orotate
314,Orotidine5#-phosphate
315,"1,2-dihexadecanoyl-sn-glycerol3-phosphate"
316,"1,2-dihexadec-9-enoyl-sn-glycerol3-phosphate"
317,Palmitoyl-ACP(n-C16:0ACP)
318,Pantetheine4#-phosphate
319,(R)-Pantoate
320,"Adenosine3#,5#-bisphosphate"
321,3#-Phosphoadenylylsulfate
322,Pyridoxine5#-phosphate
323,"phosphatidylethanolamine(dihexadecanoyl,n-C16:0)"
324,"phosphatidylethanolamine(dihexadec-9enoyl,n-C16:1)"
325,Phosphoenolpyruvate
326,L-Phenylalanine
327,Protoheme
328,O-Phospho-L-homoserine
329,Phenylpyruvate
330,O-Phospho-4-hydroxy-L-threonine
331,Phosphate
332,Pimeloyl-[acyl-carrierprotein]
333,Pimeloyl-[acyl-carrierprotein]methylester
334,Palmitoyl-CoA(n-C16:0CoA)
335,(R)-Pantothenate
336,Porphobilinogen
337,Prephenate
338,Diphosphate
339,Protoporphyrin
340,ProtoporphyrinogenIX
341,5-Phospho-beta-D-ribosylamine
342,N-(5-Phospho-D-ribosyl)anthranilate
343,1-(5-Phosphoribosyl)-AMP
344,1-(5-Phosphoribosyl)-ATP
345,5-[(5-phospho-1-deoxyribulos-1-ylamino)methylideneamino]-1-(5-phosphoribosyl)imidazole-4-carboxamide
346,L-Proline
347,5-Phospho-alpha-D-ribose1-diphosphate
348,"phosphatidylserine(dihexadecanoyl,n-C16:0)"
349,"phosphatidylserine(dihexadec-9-enoyl,n-C16:1)"
350,O-Phospho-L-serine
351,Pyridoxal5#-phosphate
352,Pyruvate
353,Ubiquinone-8
354,Ubiquinol-8
355,Quinolinate
356,alpha-D-Ribose1-phosphate
357,alpha-D-Ribose5-phosphate
358,S-Ribosyl-L-homocysteine
359,Riboflavin
360,D-Ribulose5-phosphate
361,Sedoheptulose7-phosphate
362,sirohydrochlorin
363,L-Serine
364,Siroheme
365,Shikimate
366,Shikimate5-phosphate
367,"N-Succinyl-LL-2,6-diaminoheptanedioate"
368,N-Succinyl-2-L-amino-6-oxoheptanedioate
369,Sulfite
370,Sulfate
371,Succinate
372,Succinyl-CoA
373,O-Succinyl-L-homoserine
374,trans-Tetradec-2-enoyl-CoA
375,Tetradecanoyl-CoA(n-C14:0CoA)
376,"2,3,4,5-Tetrahydrodipicolinate"
377,"5,6,7,8-Tetrahydrofolate"
378,Thiaminmonophosphate
379,Thiaminediphosphate
380,L-Threonine
381,tRNA(Glu)
382,L-Tryptophan
383,L-Tyrosine
384,"UDP-2,3-bis(3-hydroxytetradecanoyl)glucosamine"
385,UDP-3-O-(3-hydroxytetradecanoyl)-N-acetylglucosamine
386,UDP-3-O-(3-hydroxytetradecanoyl)-D-glucosamine
387,"Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-ala-D-glu-meso-2,6-diaminopimeloyl-D-ala-D-ala"
388,UDP-N-acetyl-3-O-(1-carboxyvinyl)-D-glucosamine
389,UDP-N-acetyl-D-glucosamine
390,"Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine"
391,UDP-N-acetylmuramoyl-L-alanine
392,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate
393,UDP-N-acetylmuramate
394,Undecaprenyldiphosphate
395,Undecaprenylphosphate
396,UDP
397,"UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate"
398,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine"
399,UMP
400,UroporphyrinogenIII
401,Uracil
402,Uridine
403,UTP
404,L-Valine
405,Xanthosine5#-phosphate
406,D-Xylulose5-phosphate
407,Zinc
408,KDO(2)-lipidIV(A)
409,Acetate
410,D-Alanine
411,Calcium
412,Chloride
413,Fe3+
414,D-Glucose
415,H+
416,potassium
417,KDO(2)-lipidIV(A)
418,D-Lactate
419,magnesium
420,Molybdate
421,"twodisacharidelinkedmureinunits,pentapeptidecrosslinkedtetrapeptide(A2pm-D-ala)(middleofchain)"
422,Sodium
423,"phosphatidylethanolamine(dihexadecanoyl,n-C16:0)"
424,"phosphatidylethanolamine(dihexadec-9enoyl,n-C16:1)"
425,Phosphate
426,L-Proline
427,Sulfate
428,Succinate
429,Biomass
430,M_glxBIO_c
431,M_forBIO_c
